dataset,variant,dataset type,BAcc (test),BAcc (test) (std),BAcc (train),BAcc (train) (std),Acc (test),Acc (test) (std),Acc (train),Acc (train) (std),rules,rules (std),conditions_count,conditions_count (std),avg conditions per rule,avg conditions per rule (std),avg rule quality,avg rule quality (std),avg rule precision,avg rule precision (std),avg rule coverage,avg rule coverage (std),training time total (s),training time total (s) (std),training time growing (s),training time growing (s) (std),training time pruning (s),training time pruning (s) (std),induction measure,pruning measure,voting measure,attr types
flag,plain,original,0.5444444444444445,0.1640065491013945,0.9141475617154402,0.0226251404021995,0.6871052631578947,0.1422375927078236,0.9335730706075532,0.0123676225962442,96.0,7.630348761506398,96.0,7.630348761506399,4.225651703369094,0.2247580174480197,0.5250281258871302,0.0237357404253837,0.8895984973841422,0.0241845946781676,0.0877564194093429,0.0113385605219784,0.4475912703999999,0.1179297014939914,0.5019187892,0.2989695600435738,0.0767628968,0.0347930458880395,C2,C2,C2,mixed
glass,complex_conditions,original,0.6202182539682539,0.1393362174604245,0.9362626084604984,0.0179392765112211,0.7095238095238094,0.1109789135048914,0.953276122625216,0.0103453855748713,79.7,5.355163655555055,79.7,5.355163655555055,2.6682693071666934,0.1793721190531421,0.6497375049516659,0.0089168442529394,0.9902419837631764,0.0040013326461791,0.0671564431749502,0.0055078603376926,0.6914848456,0.0826789176174345,1.9307682480000004,0.1979443005069872,0.0394271879999999,0.0065801678527678,C2,C2,C2,numerical
glass,complex_conditions_inner_alternatives,original,0.6224801587301587,0.1204164416309083,0.939082310012617,0.0193994760379205,0.7147186147186146,0.0649895554599384,0.9537888601036272,0.0107865858849747,90.2,8.916900308465443,85.4,9.118966803073446,3.476453301127214,0.366063527319023,0.6770102717585313,0.0051389502605798,0.9863711103658586,0.0082901025543493,0.0809224186781585,0.0056748016705632,1.6810755164,0.2960306433796648,3.9848002140000007,0.5533950669230079,0.0347945604,0.0085349675501704,C2,C2,C2,numerical
glass,plain,original,0.660952380952381,0.1005754209631917,0.9354355625114364,0.0242551591682378,0.7010822510822512,0.0830036330634046,0.9454717184801382,0.0163316095255672,113.6,11.927559124425528,113.6,11.92755912442553,4.17314827445862,0.3414526158869326,0.6433482854990386,0.0111667502383587,0.94829116041137,0.0140403918032135,0.0907419758798538,0.0102288316431198,0.0858322648,0.0109710407114571,0.1949778979999999,0.0232030092430824,0.0181632851999999,0.0057068268381556,C2,C2,C2,numerical
hayes-roth,complex_conditions,original,0.8077777777777777,0.0898176784575935,0.8968599033816425,0.0121177232318422,0.7818681318681319,0.0991060825138717,0.8804871100982767,0.0140404742589073,40.3,1.9465068427541912,40.3,1.9465068427541912,2.76,0.0794983008861784,0.5884565323361022,0.0111260286745434,0.9253616250875826,0.0088822377956783,0.1426334940755963,0.0077392755831306,0.032645774,0.0090898565076798,0.0402022104,0.0077389797319969,0.0078515564,0.0014186143227028,C2,C2,C2,nominal
hayes-roth,complex_conditions_inner_alternatives,original,0.8077777777777777,0.0898176784575935,0.8968599033816425,0.0121177232318422,0.7818681318681319,0.0991060825138717,0.8804871100982767,0.0140404742589073,40.3,1.9465068427541912,40.3,1.9465068427541912,2.76,0.0794983008861784,0.5884565323361022,0.0111260286745434,0.9253616250875826,0.0088822377956783,0.1426334940755963,0.0077392755831306,0.0347060603999999,0.0145465714976943,0.0503546388,0.0268624043167749,0.0070063836,0.00275023652674,C2,C2,C2,nominal
hayes-roth,plain,original,0.7988888888888888,0.1292003473942846,0.9026409017713366,0.0087423120091911,0.7978021978021977,0.1282522153194439,0.8872311636519015,0.0103615067054132,25.9,0.9944289260117531,25.9,0.9944289260117531,1.811904761904762,0.0642121860513295,0.4812083048544752,0.0118088986447785,0.8390721048646353,0.0109793907532866,0.1877246152698367,0.0104543903839522,0.016120012,0.003343985642438,0.0262668768,0.0061178998636953,0.0052936899999999,0.0028984079988819,C2,C2,C2,nominal
heart-c,complex_conditions,original,0.7827387685843569,0.0514934218442407,0.9417250405200612,0.0144590851409093,0.7856989247311827,0.0528574803919559,0.9424329347123463,0.0149447372622322,136.0,18.891503087073005,136.0,18.891503087073005,3.814309117843061,0.2549779007451196,0.6072416120410326,0.0078174601357001,0.9842776475761068,0.0046645830364231,0.134097949819678,0.0127366845388732,1.3395846896,0.2272145332075161,2.0828165484,0.3136910088092596,0.0784870796,0.014431816207685,C2,C2,C2,mixed
heart-c,complex_conditions_inner_alternatives,original,0.7932813510019392,0.0628885209046798,0.9484280890329602,0.0103271315223868,0.795483870967742,0.0626405999370478,0.948662734324499,0.0107783674641273,141.9,12.91381688993098,135.6,12.411464234506925,4.8209533171358725,0.3792219756080938,0.6311540122124459,0.0114170399460883,0.9814036288227292,0.0051622137254018,0.1615154305245718,0.0134647182761928,2.6780257952000004,0.4601029737176871,4.010876138,0.5584384597251895,0.0705709412,0.0093242143343369,C2,C2,C2,mixed
heart-c,plain,original,0.7791552197802197,0.0692286150668434,0.9361909527626782,0.0082355762570783,0.7823655913978493,0.0663483362276189,0.9380305968541264,0.0083512509165663,128.2,9.531235200352809,128.2,9.53123520035281,4.458541124810591,0.2988874743627674,0.6209849649503896,0.0125483810167094,0.959446818049228,0.0069218238295243,0.1952559504469303,0.0160953082328138,0.181051028,0.0281611564712762,0.2515086008,0.0328854723142637,0.0253212716,0.0048314699338916,C2,C2,C2,mixed
heart-statlog,complex_conditions,original,0.7858333333333334,0.0816543830520134,0.9479629629629632,0.0176050421620053,0.7925925925925925,0.0784703633682503,0.9489711934156378,0.0169342105481601,117.1,16.542537760439163,117.1,16.542537760439163,3.589484014625839,0.2640240937049294,0.6100505943573636,0.0087457316899776,0.98464378738143,0.0047818238100592,0.1373312591661425,0.0128590694120373,1.2548834251999998,0.2886643329252429,1.8949604708,0.4045343716370783,0.0706269348,0.0091981004327524,C2,C2,C2,mixed
heart-statlog,complex_conditions_inner_alternatives,original,0.7908333333333334,0.0745821694508815,0.9525925925925924,0.0137323135894438,0.8,0.0680693765535319,0.9539094650205762,0.0125422545411933,119.0,21.41131580366897,113.3,20.369094236121544,4.397271102543966,0.3986148111962272,0.6291198136359004,0.0106386856797772,0.9812260491849942,0.0063684498787998,0.1612310512716729,0.0127988288981519,1.8387256956,0.5356504471360141,2.8620625296,0.8536755053050572,0.0591610487999999,0.0121225369770349,C2,C2,C2,mixed
heart-statlog,plain,original,0.7924999999999999,0.0798774137949389,0.931574074074074,0.0100339501425961,0.7962962962962964,0.0785674201318386,0.9349794238683128,0.0096608048623643,120.7,8.433399209228874,120.7,8.433399209228874,4.491456486042693,0.2036576795599218,0.6273523226718034,0.0153916346163846,0.9610053521443108,0.0073584001322911,0.1992572398511095,0.0168153905427234,0.1810436712,0.0672172224778968,0.2618098288,0.1065581526329023,0.0195147532,0.0023834538463398,C2,C2,C2,mixed
hepatitis,complex_conditions,original,0.6221153846153846,0.1632096125814292,0.9299973775835844,0.027871983111037,0.82,0.0891013086877883,0.9684480986639258,0.0118669561210512,32.7,3.802046232695699,32.7,3.802046232695699,2.676794871794872,0.2186167489647084,0.6758895621448655,0.0204235681784928,0.9747998332632116,0.016215421475704,0.2689115081561124,0.0277712919109518,0.6941821867999999,0.2665955584980886,0.6840125799999999,0.2581866574959748,0.0565183307999999,0.0294232720032699,C2,C2,C2,mixed
hepatitis,complex_conditions_inner_alternatives,original,0.6096153846153846,0.156995309521112,0.9299973775835844,0.027871983111037,0.81375,0.0869814883810782,0.9684480986639258,0.0118669561210512,33.5,3.9791121287711073,33.0,3.858612300930075,2.724230769230769,0.2428053422337628,0.6759239360303013,0.0187890531639782,0.9749526774334768,0.01656660940177,0.2658980288296835,0.0248800131719787,0.4496661824,0.1413508114645667,0.5173025919999998,0.1414755791477299,0.0372791772,0.0277816984602037,C2,C2,C2,mixed
hepatitis,plain,original,0.6525641025641025,0.1938106039999015,0.9203577581163788,0.0323555471536371,0.7879166666666666,0.1165417651517744,0.9569989722507708,0.013463597714812,40.1,3.3482997343593826,40.1,3.3482997343593826,2.887619047619048,0.2479646243660662,0.6324744500290185,0.0237192426271643,0.944073490952556,0.0181651719178668,0.2864457288172601,0.0321573487476072,0.362480328,0.0987641737566561,0.1811795556,0.1365820850464528,0.0328780964,0.0143638190241294,C2,C2,C2,mixed
horse-colic,complex_conditions,original,0.8238284360566969,0.0660221012315506,0.8959401675166025,0.0185429871193488,0.8424924924924925,0.0619588489161885,0.9097122629490773,0.013825420317261,128.5,16.40629960309962,128.5,16.40629960309962,4.468322435251607,0.2726774486282243,0.616702746420341,0.0199752116614796,0.9556677094564008,0.0142078556360411,0.1973501487106087,0.0246094188986993,0.7453921128,0.3108081418181244,1.1757725444,0.412974833757146,0.0766351236,0.0488856852124285,C2,C2,C2,mixed
horse-colic,complex_conditions_inner_alternatives,original,0.8260023491001751,0.0634723919604199,0.8984577022460554,0.0204712610300427,0.8452702702702704,0.0580736426737536,0.9118297965274996,0.015552440241826,135.9,21.408461463221084,132.9,20.67446089583313,4.587867322492322,0.2660671190504138,0.6176040580535995,0.0157997335026556,0.9531738939891496,0.013953481025755,0.204308968684981,0.0247314456810772,0.7979278748,0.1801815435805748,1.3840111748,0.3180117452333208,0.0484566095999999,0.0125674188581585,C2,C2,C2,mixed
horse-colic,plain,original,0.8288879598662208,0.0698161427910209,0.8723776944258488,0.011110995772676,0.8452702702702701,0.0646851637289639,0.8861700578750046,0.0109593585922696,112.8,20.02109998088128,112.8,20.02109998088128,3.883261456933871,0.1881323584153483,0.5614937241837732,0.016249858083066,0.9076862348361352,0.0088684711779009,0.2432385297021349,0.0145610734582596,0.5130045048,0.1715130442289099,0.5208061204,0.2026831086584063,0.0772473071999999,0.0286509968390359,C2,C2,C2,mixed
